system:index,lwe_thickness
20020403_20020429,10.933081655233977
20020501_20020517,11.927022422431909
20020731_20020830,3.9968294125428314
20020831_20020929,3.430498952991453
20020930_20021030,3.55352594554813
20021031_20021129,10.793303367945398
20021130_20021230,15.109909450316904
20021231_20030130,15.616911541450467
20030131_20030227,17.84481504195198
20030228_20030330,14.941963240839174
20030331_20030429,8.988891583208297
20030430_20030520,6.128866565263048
20030630_20030730,-3.410429713306515
20030731_20030830,-5.261574394476581
20030831_20030929,-9.561713554687815
20030930_20031029,-10.033697399568554
20031031_20031129,-4.670573738760561
20031130_20031230,0.11066368099511133
20031231_20040112,6.313658148838061
20040203_20040228,10.309521358431013
20040229_20040330,7.049085707416028
20040331_20040429,7.072932094330158
20040430_20040530,4.782303828741547
20040531_20040629,0.6407833681579557
20040630_20040730,-2.3637322318272704
20040731_20040830,-5.512725639024119
20040831_20040929,-5.733197422277533
20040930_20041030,-5.0927832950921355
20041031_20041129,0.9474149278072154
20041130_20041230,3.1396632219940583
20041231_20050130,3.750964504423274
20050131_20050227,8.104635834842222
20050228_20050330,6.003227418459992
20050331_20050429,5.917643624871213
20050430_20050530,5.108148960138503
20050531_20050629,-3.8923824876101296
20050630_20050730,-6.223788517814206
20050731_20050830,-6.285681694014209
20050831_20050929,-7.5834667725983556
20050930_20051030,-5.642581116623733
20051031_20051129,-4.920434072750096
20051130_20051230,-0.6752907398630374
20051231_20060130,1.3574659036203298
20060131_20060227,2.2093515517303794
20060228_20060330,7.876346793604125
20060331_20060429,6.786562146838094
20060430_20060530,2.8565255083304084
20060531_20060629,-0.8254397468738303
20060630_20060730,-8.805109437420525
20060731_20060830,-7.551991339063099
20060831_20060929,-8.300492475258455
20060930_20061030,-7.783645415453394
20061031_20061129,-5.297892559459635
20061130_20061230,-0.9169401962235069
20061231_20070130,3.4620628092906505
20070131_20070227,4.149836730000788
20070228_20070330,6.793054853842457
20070331_20070429,2.154332503402613
20070430_20070530,-2.3056966972446515
20070531_20070629,2.326286908024945
20070630_20070730,0.5662978665357767
20070731_20070830,-0.05066049048999881
20070831_20070929,-2.671428395861996
20070930_20071030,-5.648361540648451
20071031_20071129,-1.8420846382637002
20071130_20071230,4.471025972074237
20071231_20080130,5.409751117822236
20080131_20080228,3.5973402669678687
20080229_20080330,5.836192191818719
20080331_20080429,8.601132964775744
20080430_20080530,4.960604106620729
20080531_20080629,2.7587443038675183
20080630_20080730,-2.8456928788800964
20080731_20080830,-6.3315195009629175
20080831_20080929,-7.333324287752869
20080930_20081030,-6.451000923256079
20081031_20081129,-0.8293926684119511
20081130_20081230,4.698357105865592
20081231_20090130,5.7937654102030915
20090131_20090227,6.662888048905282
20090228_20090330,8.319547433473979
20090331_20090429,6.19568144167307
20090430_20090530,3.722683382804147
20090531_20090629,-1.749600939779941
20090630_20090730,-6.100145912163164
20090731_20090830,-8.471893348525162
20090831_20090929,-12.624948154974984
20090930_20091030,-12.569334520218503
20091031_20091129,-8.448606477756163
20091130_20091230,-1.0245537862088565
20091231_20100130,3.767082625490638
20100131_20100227,4.211567037370043
20100228_20100330,2.5150096572741885
20100331_20100429,1.2030577876154573
20100430_20100530,-1.5574138771562054
20100531_20100629,-3.2967686418743933
20100630_20100730,-8.96976260666767
20100731_20100830,-9.079812177415553
20100831_20100929,-8.281895350500273
20100930_20101030,-6.699611511975269
20101031_20101129,-1.8820680256216467
20101130_20101226,5.909389227501197
20110207_20110227,6.185208046071148
20110228_20110330,4.791629527948295
20110331_20110429,0.29992012330054474
20110430_20110530,-6.801886459804474
20110704_20110730,-9.664825054088539
20110731_20110830,-8.287623162991464
20110831_20110929,-11.135199642519169
20110930_20111030,-11.562308798107576
20111016_20111115,-9.841716574217537
20111216_20120114,2.604259618943877
20111231_20120130,3.442215285768152
20120131_20120228,3.078206805994735
20120229_20120330,3.166338519647919
20120319_20120418,-1.6001743970332396
20120531_20120629,-2.0139152059841203
20120630_20120730,-3.6388387489220895
20120731_20120830,-10.932011757117694
20120831_20120923,-12.205990059128373
20121105_20121129,-2.0467370267776266
20121130_20121230,-0.40270330649204233
20121231_20130130,5.225866366636729
20130131_20130225,9.520959800448178
20130410_20130429,3.993079263063697
20130430_20130530,4.85767361355779
20130531_20130629,3.6689065950117454
20130630_20130730,-4.178787479563606
20130930_20131030,-6.657033437527924
20131031_20131129,3.204574536812617
20131130_20131230,-0.02644927400973026
20131231_20140116,1.6967025078253277
20140228_20140330,7.984389737219292
20140331_20140429,0.13502912430648856
20140430_20140530,-0.917512765641779
20140531_20140623,-4.568366854455551
20140731_20140830,-3.5019969812305174
20140831_20140929,-5.532772806384873
20140930_20141030,-5.531315227229994
20141031_20141201,0.25696269136166094
20150112_20150130,6.512061857962453
20150131_20150227,8.092579586921753
20150228_20150330,3.3698028225487926
20150331_20150429,4.634135930367443
20150411_20150510,3.2673809577934296
20150628_20150730,-11.527223426050195
20150731_20150830,-14.071392381368945
20150831_20150926,-14.301930493627683
20151211_20160102,-9.006967644221863
20160103_20160127,-0.4743330701584455
20160128_20160228,-0.8837740533232493
20160229_20160330,1.3483703998356875
20160507_20160530,0.23622586381218338
20160531_20160629,3.0797884414548564
20160630_20160728,-2.2360240978699895
20160807_20160902,-7.128825763145998
20161113_20161209,-9.731257388910558
20161210_20170105,-5.970950410873851
20170106_20170202,-4.588191485842598
20170316_20170413,-4.317197105213217
20170409_20170507,-6.147838519755087
20170501_20170521,-7.3771663245299886
20170522_20170628,-12.168248197851248
