system:index,total_precipitation_daily
19800101,0.00041653781000576426
19800102,0.0014059415368326141
19800103,0.0015574438503274538
19800104,0.009590704590367843
19800105,0.004264496168214225
19800106,0.0059888917391207
19800107,0.003100768354373206
19800108,0.0011592286625163898
19800109,0.00011550716930731554
19800110,6.430317198541163e-05
19800111,7.275204165779222e-05
19800112,1.922448715831072e-05
19800113,2.8157083207082124e-06
19800114,4.178407123255926e-06
19800115,1.5893630043319023e-06
19800116,4.047507360943279e-05
19800117,7.25446879246648e-06
19800118,8.407980353792283e-07
19800119,2.152693445911711e-06
19800120,0.0002393984324338984
19800121,0.006449994204626522
19800122,0.005416024473566671
19800123,0.006521611965415277
19800124,0.007714948286770285
19800125,0.000846328867083677
19800126,0.0003459855668042998
19800127,0.000607234372089347
19800128,0.00011550482653490383
19800129,1.2743469248808826e-05
19800130,0.006569635778697056
19800131,0.0145635438472549
19800201,0.0035924320032330007
19800202,0.011748922576528953
19800203,0.015480101372685462
19800204,0.012459838744554893
19800205,0.011176373984627
19800206,0.006524812257952185
19800207,0.006103345305676506
19800208,2.846056978323707e-05
19800209,8.414764614143245e-06
19800210,0.0022002529400846
19800211,0.0014328884628371232
19800212,0.0007378015300200919
19800213,0.00043824580933855123
19800214,6.027792802698095e-05
19800215,0.0005134799032873783
19800216,0.0020915113079431444
19800217,0.000588717813644533
19800218,0.00010523615068267063
19800219,2.1555687920415106e-06
19800220,4.351138613856165e-07
19800221,4.351138045421976e-07
19800222,9.780682652054053e-05
19800223,0.006119744469629783
19800224,1.65408916112135e-05
19800225,8.824957564757807e-05
19800226,5.521234133287322e-07
19800227,1.2293615975711478e-05
19800228,7.242957644066222e-05
19800229,0.00021222606894369964
19800301,0.00017460725408994038
19800302,9.301499700842614e-05
19800303,0.00041397771380324595
19800304,4.9179350801390294e-05
19800305,4.274379352888266e-06
19800306,0.009853834366565012
19800307,0.0061705291788392725
19800308,0.00347478280924158
19800309,0.0005954600935551376
19800310,0.003660356792008365
19800311,0.003848133938352992
19800312,0.0015749048559938902
19800313,0.005550901092002256
19800314,0.00046887614949646904
19800315,0.0004241327767367249
19800316,0.0010165769688283812
19800317,0.0002736025051437017
19800318,0.00020889335176935625
19800319,0.00044776632838145364
19800320,0.0006367472777509121
19800321,0.005238280653411742
19800322,0.0004717672806393296
19800323,0.000288685316986933
19800324,0.00028902452371976897
19800325,0.0005396167979072504
19800326,0.0035570725072741295
19800327,0.0158793898778051
19800328,0.006953439208395322
19800329,0.004131124175196164
19800330,0.0019773043901358113
19800331,0.011488210700239367
19800401,0.0117443806004893
19800402,0.0037758429444109884
19800403,0.003312592082687188
19800404,0.000825567018885279
19800405,0.00032245398935172706
19800406,0.00016555993274738553
19800407,0.00014166199484240798
19800408,0.0030931591614473644
19800409,0.001557565902452141
19800410,0.0020779969709465154
19800411,0.00015423075118216797
19800412,8.416952823608881e-07
19800413,6.28509670443088e-07
19800414,4.936110152020947e-07
19800415,8.421591506422855e-07
19800416,8.90646394132029e-06
19800417,0.00024390620975830183
19800418,0.0006701996507226577
19800419,0.0020389907749667887
19800420,0.004358561166930041
19800421,0.0040006538919419
19800422,0.0023857414243820874
19800423,0.00042999660076762194
19800424,0.0012405821932314437
19800425,0.0034083202508761513
19800426,0.0113567380216991
19800427,0.002148209185570997
19800428,0.00038675212029372466
19800429,0.0006318343590646557
19800430,0.00016089265603959308
19800501,0.0008233164080834372
19800502,0.010441573500508117
19800503,0.011074310756645566
19800504,0.0002674704391035178
19800505,3.225121310365577e-05
19800506,0.0030608425462904003
19800507,0.0007058726157614569
19800508,0.010953718069209117
19800509,0.0016077268652555884
19800510,2.5927725279327835e-06
19800511,8.52346317969932e-07
19800512,0.0
19800513,8.136304308109372e-05
19800514,0.0019859663263965635
19800515,8.523463748133508e-07
19800516,2.8028195264204298e-05
19800517,1.1698206620176286e-05
19800518,0.0009423136547667277
19800519,0.00022298681953436737
19800520,0.001327705116065417
19800521,0.0032254860886800065
19800522,0.0006354956143108793
19800523,8.52346317969932e-07
19800524,0.0004096654391731588
19800525,0.0004893731007193078
19800526,0.0002658780869087351
19800527,0.00375959405975465
19800528,0.00448370057124771
19800529,0.008960279487504238
19800530,0.0037930193091954803
19800531,0.003776384603736859
19800601,0.00915656110145679
19800602,0.000707528238347247
19800603,0.001416266595946162
19800604,0.0004456747675297699
19800605,6.630836676938275e-06
19800606,0.002178000297375522
19800607,0.006722709804125283
19800608,0.0006098672992113483
19800609,0.0033383633356675406
19800610,0.002149973747254291
19800611,0.0005264863370144466
19800612,0.00032696014014068237
19800613,0.0011678452657632068
19800614,0.008462413012203273
19800615,0.0048033999975831505
19800616,0.0017575306555076761
19800617,0.004522698688948092
19800618,0.0020287213389329085
19800619,0.002029618523166066
19800620,0.0016674657528311062
19800621,0.0013155812174577622
19800622,0.0052610751506028276
19800623,0.007392026759947446
19800624,0.010580100555803443
19800625,0.003950878505162667
19800626,0.005973722834795995
19800627,0.0048728245564792294
19800628,0.022419796513951602
19800629,0.006563509817232713
19800630,0.0007042648502197485
19800701,0.016790073808091176
19800702,0.008728966359530282
19800703,0.002626989352764166
19800704,0.0007163327548569993
19800705,0.00150442004062174
19800706,0.0009768589375583456
19800707,0.005248769491824183
19800708,0.0063220071922674296
19800709,0.0025611976661919357
19800710,0.0092254724871664
19800711,0.004297923279929708
19800712,0.0023102800057034087
19800713,0.0075506215592284235
19800714,0.009478418833026424
19800715,0.0182542989762018
19800716,0.0007333686069517912
19800717,0.000149668930000221
19800718,0.0025652342609889644
19800719,0.005824699943194194
19800720,0.017689145093107855
19800721,0.004816201121567679
19800722,2.8426464901517324e-06
19800723,1.2970100578070583e-06
19800724,1.3721798682929792e-06
19800725,1.7285337889916264e-06
19800726,0.004710603961655922
19800727,0.0037509928728491214
19800728,0.0006833389606109129
19800729,0.005000999544661272
19800730,0.001656721669368517
19800731,5.129595021263788e-05
19800801,9.725967998948973e-06
19800802,0.00035510913670953756
19800803,0.008913506664550909
19800804,0.0010077134992210939
19800805,0.0010448651134465985
19800806,0.0001359720325766365
19800807,9.43704242169338e-05
19800808,0.005996762937337962
19800809,0.0010528456134881838
19800810,0.000661741213733377
19800811,0.0028321550179083565
19800812,0.007786118944352581
19800813,0.0028766934446181752
19800814,0.0007502852872921874
19800815,0.007112312009207627
19800816,0.0294930893844309
19800817,0.002100801151024015
19800818,0.0005123290039898468
19800819,0.0028558907099903805
19800820,0.00037077155653619543
19800821,0.001317531699589646
19800822,0.000441386902866809
19800823,0.0007095515152933784
19800824,0.00020732633470505458
19800825,1.44845006854919e-06
19800826,0.0037047894857305135
19800827,0.0018338027098678854
19800828,0.0005282126330566486
19800829,0.003934868077114442
19800830,0.006447630523388878
19800831,0.005669170440361353
19800901,0.0004696448016597928
19800902,1.7225742112714215e-06
19800903,1.2844800494349329e-06
19800904,0.0001768406786157771
19800905,0.008136611252295305
19800906,0.0005646034303175871
19800907,4.351138045421976e-07
19800908,0.005608373276416094
19800909,0.005287523271886042
19800910,0.002779219898545088
19800911,0.002893957464625463
19800912,0.0017211250097658181
19800913,0.0024741423656453733
19800914,0.0006606710123648552
19800915,7.279941646915374e-05
19800916,2.783615644331556e-06
19800917,0.0010911445911529866
19800918,3.194746948385325e-06
19800919,2.3933401130536445e-06
19800920,0.0004730088702619524
19800921,0.002029139366057673
19800922,0.002603381848356517
19800923,0.0001822796573876762
19800924,0.0016558607993956572
19800925,0.0012110500323407286
19800926,0.00021448675261855833
19800927,0.00011535624098181114
19800928,2.898445305175839e-06
19800929,3.1249285827078286e-05
19800930,0.00021962481378902412
19801001,7.963879545499431e-05
19801002,0.0007461128990493543
19801003,4.085849138725358e-06
19801004,7.915512399889115e-05
19801005,0.00021587830217523516
19801006,0.00023349084941103664
19801007,0.012428890380297158
19801008,0.0020020996801816864
19801009,0.0034489528663221225
19801010,0.00034257302416012853
19801011,0.0150287061619065
19801012,0.006891608910956766
19801013,0.00036528864284661244
19801014,0.00010522099465974888
19801015,0.0009326994728262614
19801016,0.005823728204911549
19801017,0.0050148337718510265
19801018,0.002800577289747802
19801019,0.0003831186963154082
19801020,0.0011268138833257315
19801021,2.562087601786073e-06
19801022,1.8705691368528072e-05
19801023,0.010366101077150578
19801024,0.009124419867947434
19801025,0.0012288939100872256
19801026,9.075516285386318e-06
19801027,0.0003781593432060097
19801028,1.0548232481586206e-06
19801029,0.0014929742774880419
19801030,0.00020767667170182302
19801031,1.069461166219067e-06
19801101,1.844212875457118e-06
