system:index,precipitation
20000601,0.013699749679590681
20000602,0.0861653780609715
20000603,0.3394063281799806
20000604,12.242464978536713
20000605,7.670734948520863
20000606,0.008262949594770096
20000607,0.0
20000608,0.0
20000609,4.5989254006966975
20000610,9.468944165299527
20000611,9.567754869289782
20000612,0.0
20000613,0.0
20000614,0.0
20000615,0.0
20000616,0.0
20000617,0.0
20000618,0.0
20000619,0.0
20000620,0.0
20000621,0.0
20000622,0.0
20000623,0.0
20000624,0.03133365873260565
20000625,0.0
20000626,0.0
20000627,0.0
20000628,0.0
20000629,0.0
20000630,0.0
20000701,5.6981058950672905
20000702,13.513058882247616
20000703,13.060803396763758
20000704,20.78812766125756
20000705,0.0
20000706,0.0
20000707,43.15929857516411
20000708,0.0
20000709,0.8758598456454114
20000710,0.1278652573469147
20000711,0.0572589558973803
20000712,0.0
20000713,0.058925300395896635
20000714,7.2338295709049945
20000715,0.17647527993083237
20000716,0.06892044741189654
20000717,0.0
20000718,0.0
20000719,0.0
20000720,0.0
20000721,0.0
20000722,0.0
20000723,0.49577238867535817
20000724,13.725741279622
20000725,0.21464248903857627
20000726,28.041045590183842
20000727,2.9795962775048106
20000728,7.537460057980498
20000729,0.39475006556497605
20000730,0.028241233712071184
20000731,0.0
20000801,0.0
20000802,2.714641982773701
20000803,0.13876808096599158
20000804,0.004074147026411033
20000805,0.0
20000806,0.02957945094788454
20000807,0.045017972013202255
20000808,0.5208955916152352
20000809,0.0
20000810,0.0
20000811,0.0
20000812,0.0
20000813,0.0
20000814,0.05960012018830162
20000815,0.3225455478257337
20000816,0.0
20000817,0.006488704249868288
20000818,3.5048380055662443
20000819,11.33007563621926
20000820,9.221978896116893
20000821,7.895590700690273
20000822,0.017688977499292102
20000823,0.0
20000824,0.0
20000825,0.0
20000826,0.0
20000827,27.20394244189143
20000828,0.0
20000829,0.0
20000830,0.25308060692645923
20000831,2.7353921514540596
20000901,0.07778592819028775
20000902,0.15756808733599445
20000903,0.0
20000904,0.0
20000905,0.0
20000906,11.340902577486043
20000907,0.029880236779517323
20000908,0.0
20000909,0.0
20000910,0.0
