system:index,total_precipitation_sum
200006,0.040224969903467925
200007,0.16844498922576073
200008,0.05320173129867252
200009,0.09292397215051615
200010,0.09385426519933952
200011,0.12491783932415504
200012,0.09059447043053412
200101,0.09817749707473171
200102,0.07100453419205793
200103,0.17873439310361147
200104,0.12572704825834286
200105,0.036279679506529654
200106,0.07275183104990092
200107,0.08507613361304053
200108,0.06643762047807117
200109,0.1187902611324908
200110,0.058558723603645745
200111,0.09080997964178174
200112,0.09468330884515569
200201,0.05419879557916615
200202,0.15950681725096172
200203,0.08381521597680756
200204,0.04688262095854582
200205,0.0917631804914696
200206,0.0587321592388751
200207,0.07774055638081927
200208,0.08273661757624415
200209,0.044793655884171765
200210,0.12367941098060665
200211,0.14118885833765737
200212,0.10039475584168313
200301,0.1079293973520066
200302,0.026595422008741543
200303,0.03848560337225913
200304,0.05638929570325211
200305,0.08515860722186794
200306,0.044193092779507996
200307,0.06777230188750184
200308,0.05095674097724337
200309,0.04788015658677307
200310,0.09759341806004548
200311,0.057655648739822096
200312,0.056038142639529366
200401,0.14674664329738418
200402,0.03976456587052902
200403,0.05127312009777671
200404,0.05669684351209626
200405,0.06726885051755667
200406,0.06195775939422903
200407,0.0766517306420679
200408,0.11160683533855649
200409,0.039330197151649586
200410,0.09353215086893235
200411,0.048701931236294495
200412,0.06640986687600407
200501,0.06216790741395795
200502,0.06921400560293489
200503,0.06124070736159791
200504,0.09975018917047478
200505,0.08360403189373079
200506,0.05689143821421944
200507,0.08303464511201097
200508,0.06733079871701245
200509,0.06181124355239048
200510,0.05076798357351843
200511,0.053353936007485905
200512,0.08074643272752619
200601,0.037328364820621775
200602,0.06910646739543536
200603,0.11761901671134106
200604,0.0651147721546065
200605,0.11871858839810949
200606,0.044944247196167846
200607,0.03830856827647195
200608,0.16426831674441258
200609,0.06566427814591388
200610,0.12007545682696774
200611,0.07458953525734548
200612,0.057750954531681484
200701,0.11196947365603473
200702,0.10655402299876744
200703,0.10699357073768578
200704,0.003944396477397219
200705,0.11132336123313212
200706,0.12721431886870357
200707,0.11252327535157756
200708,0.11950130324429442
200709,0.05700533783300751
200710,0.025813201279228308
200711,0.06886661046293067
200712,0.10041889000524334
200801,0.0711361551593724
200802,0.07068838189759868
200803,0.14408822772895502
200804,0.10053265366214607
200805,0.06005288152834239
200806,0.08213145202210434
200807,0.07206727035441295
200808,0.10080463864612013
200809,0.08272370458055191
