system:index,total_precipitation_sum
198001,0.0772180601843401
198002,0.08191398237150774
198003,0.08975446761190636
198004,0.06064410229464819
198005,0.07337116994913326
198006,0.12305849649887393
198007,0.14423214203190643
198008,0.10075877788461854
198009,0.04068680645305332
198010,0.08088416652768043
198011,0.06865983065142751
198012,0.09156279650901968
198101,0.11426369497691241
198102,0.051986013709114855
198103,0.11483024296383947
198104,0.05959722109621847
198105,0.0900626847768402
198106,0.12504414794072352
198107,0.09528537597582501
198108,0.08243826957754596
198109,0.10316740668571805
198110,0.16526862033686526
198111,0.06894048247975267
198112,0.16122317586100132
198201,0.09970916302313042
198202,0.018147949502098557
198203,0.1090363785212688
198204,0.03878363592597085
198205,0.06897384562643166
198206,0.09788132189159397
198207,0.06740242387032418
198208,0.07391699467202496
198209,0.059418356224164894
198210,0.13188367111082228
198211,0.08204505477098528
198212,0.14429397669777327
198301,0.09624081499269806
198302,0.06883825031651807
198303,0.08789546959992126
198304,0.16879392163911788
198305,0.21527178906591005
198306,0.06267788548972168
198307,0.03679002400826734
198308,0.037057915484353846
198309,0.0971023797333473
198310,0.05690853903111192
198311,0.06574999499429361
198312,0.053654310319030035
198401,0.17018237750537094
198402,0.09713250947707895
198403,0.05533812597620524
198404,0.05620039681508154
198405,0.14734513296601617
198406,0.07025584918584886
198407,0.056869877094661084
198408,0.06018159882831215
198409,0.15168124534860775
198410,0.09343046113237792
198411,0.0805044331723344
198412,0.04538842109360939
198501,0.07258871164631446
198502,0.03912077839648345
198503,0.08449013073977533
198504,0.08600791121742832
198505,0.1050372502361636
198506,0.10190888207669692
198507,0.05657846236616708
198508,0.06965364238274226
198509,0.04391248240139667
198510,0.019970695435719093
198511,0.09287675858224256
198512,0.0700975904798815
198601,0.13442555398949693
198602,0.028373362316220938
198603,0.1115465825923893
198604,0.11422171239832826
198605,0.10286981033365246
198606,0.0960066944729438
198607,0.06687437678616057
198608,0.11203126889171927
198609,0.10143619717613085
198610,0.1026094892321338
198611,0.0618261525064551
198612,0.10102113220506982
198701,0.05617452925225455
198702,0.07315376815421479
198703,0.09102184952714312
198704,0.04753976709160679
198705,0.11440556092436484
198706,0.15154561460840205
198707,0.11897231120368687
198708,0.08058635429430645
198709,0.08422099986733747
198710,0.1138282823204741
198711,0.07763273525304513
198712,0.04470066768864825
198801,0.13286249660466398
198802,0.12445512114287119
198803,0.15563897669326396
198804,0.03832748389412028
198805,0.11518172583370102
198806,0.05314229593836034
198807,0.10748664661516157
198808,0.04277634452621597
198809,0.068283127891933
198810,0.09644443064098636
198811,0.05229053623978113
198812,0.1025031991738581
198901,0.02820511615319133
198902,0.07090239923717594
198903,0.07897583327549083
198904,0.1580505612900654
198905,0.04908752577990327
198906,0.07576957439664782
198907,0.06798690614253325
198908,0.06196270363375626
198909,0.0582964397395014
198910,0.0637052899199986
198911,0.05295683106010149
198912,0.11960172830936637
199001,0.06510083317213335
199002,0.13277736649557384
199003,0.03359852577528183
199004,0.07122403852554415
199005,0.040403148606120695
199006,0.114585697257557
199007,0.03675716289438771
199008,0.08664152394986353
199009,0.06454631552386823
199010,0.09415023012957185
199011,0.10004819055941047
199012,0.10776301426844809
199101,0.08637725967136911
199102,0.03674286766568544
199103,0.05142418585642721
199104,0.05214675496002997
199105,0.02835486639579869
199106,0.08591633354596404
199107,0.058467700748246004
199108,0.020874154760304294
199109,0.07868893337506323
199110,0.05552726852135581
199111,0.09820729459422256
199112,0.07713577494829829
199201,0.030232171260101463
199202,0.052452698084605155
199203,0.1010510585014361
199204,0.056240733812184876
199205,0.05819173776253108
199206,0.10130255837257143
199207,0.07428471966433649
199208,0.09186672391342678
199209,0.04302601792485892
199210,0.099439669531551
199211,0.12744369511024808
199212,0.058904576844995345
199301,0.08843871360738469
199302,0.025344313312600016
199303,0.01771610688010249
199304,0.04908157698056955
199305,0.09898625401297924
199306,0.04962810094580046
199307,0.0995595545632616
