system:index,precipitation
20100101000000,0.08768851181350044
20100201000000,0.15200185702399913
20100301000000,0.08661170209909443
20100401000000,0.035632850746493874
20100501000000,0.13408298203536667
20100601000000,0.08447883919165904
20100701000000,0.09744059234393128
20100801000000,0.20301490560292176
20100901000000,0.1128537648579848
20101001000000,0.06505691360322646
20101101000000,0.1592519717444431
20101201000000,0.20318669768161776
20110101000000,0.1232188446571238
20110201000000,0.05875176691171671
20110301000000,0.032864390260420186
20110401000000,0.03588283560778003
20110501000000,0.05158149553360802
20110601000000,0.13277272149634697
20110701000000,0.1110167679305083
20110801000000,0.14579851097462687
20110901000000,0.0669085595696765
20111001000000,0.06902432030683717
20111101000000,0.01659710815194865
20111201000000,0.28121352025597773
20120101000000,0.1725332548625982
20120201000000,0.03479292088624763
20120301000000,0.03452771567837322
20120401000000,0.11806027587425555
20120501000000,0.10932057129630805
20120601000000,0.16640028642145327
20120701000000,0.1308621682986725
20120801000000,0.0631978446638617
20120901000000,0.08992596382401526
20121001000000,0.130377359883314
20121101000000,0.12663689777122733
20121201000000,0.22359190511054836
